time_stamp	track_id	x_state	y_state	v_state	yaw_state	yaw_rate_state
3020000	20	-2.17904	15.4277	1.70583	2.68712	0.582155
3020000	21	0.0508054	31.954	0.6189	1.63433	0.0414195
3020000	22	-2.17973	15.4278	1.70574	2.68739	0.581544
3020000	29	4.45573	53.7961	17.7573	1.05552	0.473687
3020000	30	4.45573	53.7961	17.7573	1.05552	0.473687
3030000	20	-2.35854	15.2374	1.86964	3.16882	0.667143
3030000	21	0.0573515	32.1529	0.711429	1.63019	0.0312781
3030000	22	-2.35947	15.2377	1.86934	3.16836	0.666349
3030000	29	4.55237	54.4323	17.1236	1.1387	0.62769
3030000	30	4.55237	54.4323	17.1236	1.1387	0.62769
3040000	20	-1.80537	15.706	1.81255	3.64304	0.582453
3040000	21	0.0475761	32.367	0.800866	1.65685	0.0342165
